Alpha,Iter,Pathlen
0.0,500000.0,14405.736476190477
0.0,1000000.0,15298.15316666666
0.0,3000000.0,16268.342214285694
0.0,5000000.0,16915.806809523776
1.0,500000.0,12773.45050000001
1.0,1000000.0,13828.099904761904
1.0,3000000.0,15125.456523809513
1.0,5000000.0,15755.257428571414
2.0,500000.0,11583.37766666668
2.0,1000000.0,12217.43711904763
2.0,3000000.0,13207.4430952381
2.0,5000000.0,13879.794857142855
3.0,500000.0,10549.731023809536
3.0,1000000.0,10931.645119047636
3.0,3000000.0,11827.66661904763
3.0,5000000.0,12051.470214285722
4.0,500000.0,9844.664547619057
4.0,1000000.0,10020.491404761919
4.0,3000000.0,10448.513285714298
4.0,5000000.0,10613.860190476204
5.0,500000.0,9412.242500000011
5.0,1000000.0,9560.394190476205
5.0,3000000.0,9690.71535714287
5.0,5000000.0,9735.330690476201
6.0,500000.0,9061.76676190477
6.0,1000000.0,9189.323666666676
6.0,3000000.0,9239.421571428584
6.0,5000000.0,9258.651190476203
7.0,500000.0,8812.034095238103
7.0,1000000.0,8948.410166666676
7.0,3000000.0,9017.854523809534
7.0,5000000.0,9048.335000000012
8.0,500000.0,8611.47700000001
8.0,1000000.0,8700.968428571437
8.0,3000000.0,8830.831785714296
8.0,5000000.0,8839.391690476203
9.0,500000.0,8474.093928571436
9.0,1000000.0,8552.739095238105
9.0,3000000.0,8628.380404761914
9.0,5000000.0,8666.95745238096
10.0,500000.0,8175.113690476196
10.0,1000000.0,8214.558761904767
10.0,3000000.0,8204.652738095247
10.0,5000000.0,8178.88371428572
