Alpha,Iter,Pathlen
0.0,500000.0,5791.84823809524
0.0,1000000.0,5819.106780952384
0.0,3000000.0,5853.326590476192
0.0,5000000.0,5868.544457142861
1.0,500000.0,5649.071009523812
1.0,1000000.0,5676.598552380956
1.0,3000000.0,5721.486009523812
1.0,5000000.0,5718.271885714288
2.0,500000.0,5484.5130857142885
2.0,1000000.0,5512.708790476193
2.0,3000000.0,5541.968523809526
2.0,5000000.0,5531.326514285717
3.0,500000.0,5371.9585047619075
3.0,1000000.0,5387.126800000002
3.0,3000000.0,5389.484704761908
3.0,5000000.0,5369.496857142858
4.0,500000.0,5258.069342857145
4.0,1000000.0,5274.754542857146
4.0,3000000.0,5287.59966666667
4.0,5000000.0,5274.247295238097
5.0,500000.0,5179.358447619048
5.0,1000000.0,5169.6425333333345
5.0,3000000.0,5189.475790476192
5.0,5000000.0,5191.731485714288
6.0,500000.0,5095.507704761907
6.0,1000000.0,5113.320085714286
6.0,3000000.0,5119.388866666669
6.0,5000000.0,5130.525933333335
7.0,500000.0,5035.719876190478
7.0,1000000.0,5051.034295238097
7.0,3000000.0,5061.050390476193
7.0,5000000.0,5074.56627619048
8.0,500000.0,4980.835704761906
8.0,1000000.0,4995.440095238097
8.0,3000000.0,5022.741400000001
8.0,5000000.0,5015.839371428574
9.0,500000.0,4926.41224761905
9.0,1000000.0,4950.364104761906
9.0,3000000.0,4979.25300952381
9.0,5000000.0,4978.8475809523825
10.0,500000.0,4794.599495238098
10.0,1000000.0,4796.322219047619
10.0,3000000.0,4795.322638095239
10.0,5000000.0,4800.712914285716
