Alpha,Iter,Pathlen
0.0,500000.0,10186.401492433337
0.0,1000000.0,10930.605412666668
0.0,3000000.0,11141.033841666665
0.0,5000000.0,11166.961443999999
1.0,500000.0,7454.493492066668
1.0,1000000.0,8044.162127066668
1.0,3000000.0,8818.251396766665
1.0,5000000.0,9006.959158733334
2.0,500000.0,5981.648190466668
2.0,1000000.0,6378.236222266668
2.0,3000000.0,6777.411380933334
2.0,5000000.0,6940.943460266667
3.0,500000.0,5281.129936433334
3.0,1000000.0,5492.3835238
3.0,3000000.0,5766.406444466667
3.0,5000000.0,5844.693111099999
4.0,500000.0,4892.104841333333
4.0,1000000.0,5022.447142799998
4.0,3000000.0,5186.493444533334
4.0,5000000.0,5249.250349233334
5.0,500000.0,4632.714777799999
5.0,1000000.0,4748.709269866667
5.0,3000000.0,4863.405492
5.0,5000000.0,4926.1743174
6.0,500000.0,4463.018063433335
6.0,1000000.0,4556.173539633332
6.0,3000000.0,4655.797825366668
6.0,5000000.0,4694.475872966668
7.0,500000.0,4364.3443016
7.0,1000000.0,4417.9050793666665
7.0,3000000.0,4525.7437937333325
7.0,5000000.0,4551.183571366665
8.0,500000.0,4277.768571500001
8.0,1000000.0,4338.710920699999
8.0,3000000.0,4416.4040158
8.0,5000000.0,4441.032523833333
9.0,500000.0,4228.090095099999
9.0,1000000.0,4269.141952366666
9.0,3000000.0,4334.649650733333
9.0,5000000.0,4363.978047633333
10.0,500000.0,4131.652111133333
10.0,1000000.0,4135.048317533334
10.0,3000000.0,4113.056698433333
10.0,5000000.0,4107.7456507666675
